company_permalink,company_name,homepage_url,company_category_list,funding_total_usd,status,company_country_code,company_city,funding_rounds,founded_at,first_funding_at,last_funding_at,time_before_first_fund,employee_count,number_of_technologies,annual_rev
/organization/mediander,Mediander,http://www.mediander.com/,missing,0.0,operating,USA,New York,1,2013-01-01 00:00:00.000000000,2014-07-24,2014-07-24,569 days 00:00:00,79,5,15333000.0
/organization/medianest,MediaNest,http://MediaNest.com,Analytics|Content Syndication|Internet Marketing|Social Media Marketing|Video,0.0,operating,USA,Boulder,1,2010-12-07 20:46:43.240577680,2014-09-01,2014-09-01,1363 days 03:13:16.759422320,5,5,
/organization/mediangels,MediAngels,http://www.mediangels.com/,Delivery|Hospitality,1000000.0,operating,IND,Mumbai,1,2011-01-15 20:46:43.240577680,2014-10-10,2014-10-10,1363 days 03:13:16.759422320,1,3,1200000.0
/organization/mediant-communications,Mediant Communications,http://www.mediantonline.com,Finance,10300000.0,operating,USA,New York,2,2002-01-01 00:00:00.000000000,2014-01-07,2014-09-02,4389 days 00:00:00,95,7,10000000.0
/organization/mediaomics,Mediaomics,http://www.mediaomics.pt/,Biotechnology,528336.0,operating,PRT,Caparica,1,2012-01-01 00:00:00.000000000,2013-07-10,2013-07-10,556 days 00:00:00,0,7,
/organization/mediapass-com,MediaPass,http://www.mediapass.com,Advertising|Software,2250000.0,operating,USA,Los Angeles,2,2010-01-01 00:00:00.000000000,2012-01-26,2012-03-28,755 days 00:00:00,9,10,32099000.0
/organization/mediaphy,MediaPhy,http://mediaphy.com,Semiconductors,13000000.0,operating,USA,San Jose,2,2004-10-01 00:00:00.000000000,2006-03-24,2008-02-04,539 days 00:00:00,0,9,2000000.0
/organization/mediaplatform,MediaPlatform,http://www.mediaplatform.com,Enterprise Software|Mobile Video|Software|Video Streaming,25750000.0,operating,USA,Beverly Hills,5,2005-01-01 00:00:00.000000000,2006-01-01,2015-08-05,365 days 00:00:00,37,22,52000000.0
/organization/mediapro,MediaPro,http://mediapro.com,Education,5000000.0,operating,USA,Bothell,1,1993-01-01 00:00:00.000000000,2015-04-21,2015-04-21,8145 days 00:00:00,37,0,
/organization/mediaq-inc,"MediaQ,Inc",http://www.mediaq.com,Mobile|Semiconductors|Wireless,38400000.0,acquired,USA,Santa Clara,2,1997-01-01 00:00:00.000000000,2000-08-04,2002-07-29,1311 days 00:00:00,2,7,
/organization/mediarex-sports-entertainment,Mediarex Sports & Entertainment,http://www.mediarex.com,Entertainment|Media|Sports,4900000.0,operating,MLT,missing,1,2012-01-01 00:00:00.000000000,2015-07-14,2015-07-14,1290 days 00:00:00,0,2,
/organization/mediaroost,MediaRoost,http://www.mediaroost.com,Customer Service|Enterprise Software|Sales and Marketing|Social Media|Twitter Applications,500000.0,operating,USA,Metuchen,1,2011-01-01 00:00:00.000000000,2011-05-12,2011-05-12,131 days 00:00:00,3,7,792000.0
/organization/mediascrape,MediaScrape,http://www.mediascrape.com,News,5200000.0,closed,CAN,Montréal,3,2006-05-01 00:00:00.000000000,2006-01-01,2008-04-17,-120 days +00:00:00,1,2,1400000.0
/organization/mediashare,MediaShare,http://www.mediashare.cn,Advertising,10000000.0,operating,CHN,Shanghai,1,2007-10-06 20:46:43.240577680,2011-07-01,2011-07-01,1363 days 03:13:16.759422320,32,3,
/organization/mediasilo,MediaSilo,http://mediasilo.com,Software,2250000.0,operating,USA,Boston,1,2008-01-01 00:00:00.000000000,2013-01-23,2013-01-23,1849 days 00:00:00,2,16,4000000.0
/organization/mediaspectrum,Mediaspectrum,http://www.mediaspectrum.net,Software,35800000.0,operating,USA,Burlington,1,2001-01-01 00:00:00.000000000,2013-07-24,2013-07-24,4587 days 00:00:00,33,11,2901000.0
/organization/mediaspike,MediaSpike,http://www.mediaspike.com,Advertising|Games|Mobile Games|Social Games,5200000.0,operating,USA,Mountain View,3,2011-01-01 00:00:00.000000000,2011-09-02,2013-11-04,244 days 00:00:00,2,14,42070000.0
/organization/mediastay,Mediastay,http://mediastay.com,Games,21500000.0,closed,USA,San Francisco,3,2000-01-01 00:00:00.000000000,2000-01-01,2011-04-08,0 days 00:00:00,18,8,3161000.0
